id,subtitulo,item,asignacion
5ea6f33f-4d89-48b3-bd6c-e4c9228a0077,33,03,125
82f10c25-743f-41db-9c1d-e3ce40919d1c,31,02,
c5613bb2-9273-4700-98bb-023fdda4c650,24,03,
351e51e8-e76a-4aec-b8de-83d159f8d934,24,03,480
bb2b6acd-f5b7-43d0-9ed7-d05b02881573,24,01,276
641dc52b-aee7-41d2-9c56-4ce489f8700c,24,01,264
c14f2ec1-9dd2-4dc2-bdcb-57e964a12728,29,"07, 06",
d475b2ac-d8f9-4083-8a89-9b82bf1fc98b,29,03,
46d2e01e-50fb-48f6-a24d-8fa7cfb50259,24,01,273
87a81f15-836a-40d5-a20f-6678c41a58e6,24,01,274
cd21de39-30f8-42d8-8724-98616981dbee,24,01,275
cce08fc8-b984-4c6a-b8a8-10d467e222c0,24,03,484
2d23f0ef-ebb9-4874-a969-ff0d48781c3a,33,01,001
201da955-e442-4ff4-ac3f-69963a539af6,33,03,
cee58d59-9252-4ab6-96ad-cb5eebe9337e,33,01,
8611d07a-b617-4362-afa9-17f230711a3b,29,05,
21ce6bd7-0d73-424f-ac0c-925f8dd90cd2,24,01,
0c7b0d11-9f9e-479f-b6ef-e4db4170b16d,24,03,490
993d30d9-045d-4862-94b8-a286a0477ef2,24,03,483
706ab80e-ea95-486a-a66f-7e73e54498d0,31,01,
eda962d2-8445-48bd-bc72-c216a5c69c1c,29,01,
da8506e0-5945-4d54-8996-8f34b4299dad,24,01,258
d1ce6f1f-34b8-4bde-bdd9-3016a55a1dc3,29,05/06/07,
4243ad03-9eb8-41b9-9f1b-0bd4d131a24f,29,3,
12752d2d-3ecd-4d24-a0dc-2f3b902dffc1,31,2,001/002/004
97bc1756-f5d1-476f-b99b-3b48ed199558,33,3,420
cb368f3a-618e-4ddc-9597-b2c642bfaa14,31,2,002/004
59587396-494b-4efd-88d8-c787232875eb,24,03,488
558d97e4-bb47-4e4d-8243-f11d5290a2a0,24,03,006
fb67de7a-4799-481d-afe3-63fefeb957e7,31,02,002/004
307d986d-2ccf-4e7d-b503-b9e7c46f8f3f,33,01,272
52754408-7232-451d-8a2c-094257dd4bd8,29,05/07,
7b7875f5-eca6-4995-82cf-2f18ee18f726,33,01,270
4cbaf3c3-d0fd-4ed8-8c5c-1883b7bf705c,29,03/05,002
92036ad7-31d8-442e-a0e7-b87c08e7b12b,29,03/05/06,
b939ddbf-5c04-41a4-84c0-b95765e26f57,31,02,005/006
1b8bdc22-bdd1-4181-b516-2b9adddee2b1,33,01,255
ddde9ce7-ed1e-4bb3-af14-bfa4aafe028d,33,,125
ffd326cb-5cc4-4637-be34-3b741972b751,31,02,004
f3e7d48d-5d7f-4091-9266-e1d1762d4948,24,01,278
967ab0ac-a005-4e96-9b65-d0d252befbca,33,03,456
f34524a4-3c08-48fe-b1b1-d0bb9793fc02,33,03,470
5e622024-99c6-4fa1-a8fc-1213d9a0951c,33,03,469
a1606f61-6943-4804-bf3b-625247714cc6,33,03,006
72f961f8-de53-4578-9551-fe7a9872072c,33,03,465
980a039a-3c22-4fd7-8cfb-9c76a66b07ec,33,03,468
f2af6adf-4411-4aa1-9534-d62cd3303544,33,01,271
81dee83a-b8f5-4b39-8948-e19934d94011,33,03,466
5e036681-4482-4867-8815-6d04b5d5ea22,33,03,463
c4d86fb4-8755-4d92-862d-ce4d49109dab,24,03,485
969ea7a4-2f07-48c6-8a5f-b076b04757b6,24,03,487
ccc0f9d3-33ce-443d-9d12-2b0b182cfa30,33,03,473
d9c1f74e-7d60-48ae-b867-72d73716561d,24,03,476
b3296526-e8d2-4a33-a251-ac025aa4474b,29,,
0b417914-aa20-4160-96d8-80a2c9da36d5,29,06,
5a17629e-b92f-4f2f-92e6-21add6c24d3b,24,03,474
bff5beca-0cc6-48a8-a955-2651fc6123d2,24,03,475
63d80109-f5ce-4a29-b243-552c07ba67fa,24,03,479
70802fa3-2dcd-4e88-bfca-acaa3602623c,24,03,481
c8cb52a2-4cd9-40d0-8b41-b76c59de45b7,24,03,482
71952a33-053f-49f6-863f-433ac55a34bd,24,01,277
d2693a8a-a56a-4401-a745-af9949789023,29,05,002
3d390e1e-0e13-4612-b66a-b9afed9e50a5,29,03,002
1e97e835-ab6c-45ab-a21f-efce11e7c062,24,03,477
e89760a1-e12d-4a89-a067-729008f6e980,24,03,486
20a3f58f-c3e0-428e-a13b-dd9d9505e235,29,03/05,
21558805-ac19-44a6-bc59-896f411d74db,24,03,478
b9d66824-19f8-4c25-8d5e-50e9911ae672,33,03,467
d4341032-f397-43be-88fe-6da599573bfc,33,03,457
714169c5-3a47-4094-95d0-cd2a296de685,33,03,459
14e24e67-c3e7-4858-b118-f12f995338c4,24,03,436
87efefa2-a34a-427e-bf13-3d17b14b8835,33,03,471
b267aab3-192e-4d00-9327-3501f211c8b7,33,03,472
e0a66673-78ee-48a5-bcab-930061243082,24,03,300
697832e6-e749-4da6-8911-240e5e7a12f4,24,01,300
5b5773ed-07c3-4c81-8b5f-4998ebc236ff,33,08,125
